event_id,event_date,state,latitude,longitude,rainfall_1d_date,rainfall_3d_start,rainfall_7d_start
1168,2009-09-17 00:00:00,Sikkim,27.1954,88.6115,2009-09-17 00:00:00,2009-09-15 00:00:00,2009-09-11 00:00:00
1222,2009-10-05 00:00:00,Mizoram,23.73478778,92.72124394,2009-10-05 00:00:00,2009-10-03 00:00:00,2009-09-29 00:00:00
1596,2010-03-27 20:00:00,Manipur,24.7339,93.9161,2010-03-27 20:00:00,2010-03-25 20:00:00,2010-03-21 20:00:00
1611,2010-04-01 00:00:00,Assam,25.1553,93.028,2010-04-01 00:00:00,2010-03-30 00:00:00,2010-03-26 00:00:00
1613,2010-04-02 23:00:00,Arunachal Pradesh,27.8997,93.3497,2010-04-02 23:00:00,2010-03-31 23:00:00,2010-03-27 23:00:00
1756,2010-04-17 00:00:00,Sikkim,27.322,88.6087,2010-04-17 00:00:00,2010-04-15 00:00:00,2010-04-11 00:00:00
1755,2010-04-17 15:00:00,Sikkim,27.3341,88.6083,2010-04-17 15:00:00,2010-04-15 15:00:00,2010-04-11 15:00:00
1770,2010-04-20 00:00:00,Assam,26.1965,91.763,2010-04-20 00:00:00,2010-04-18 00:00:00,2010-04-14 00:00:00
1771,2010-04-20 00:00:00,Assam,26.1978,91.7665,2010-04-20 00:00:00,2010-04-18 00:00:00,2010-04-14 00:00:00
1775,2010-04-21 00:00:00,Arunachal Pradesh,27.8965,96.1779,2010-04-21 00:00:00,2010-04-19 00:00:00,2010-04-15 00:00:00
1776,2010-04-21 00:00:00,Meghalaya,25.3612,92.2845,2010-04-21 00:00:00,2010-04-19 00:00:00,2010-04-15 00:00:00
1857,2010-05-11 09:00:00,Meghalaya,25.3433,92.2897,2010-05-11 09:00:00,2010-05-09 09:00:00,2010-05-05 09:00:00
1930,2010-05-31 00:00:00,Arunachal Pradesh,28.4298,95.8776,2010-05-31 00:00:00,2010-05-29 00:00:00,2010-05-25 00:00:00
1929,2010-05-31 23:00:00,Sikkim,27.3543,88.6428,2010-05-31 23:00:00,2010-05-29 23:00:00,2010-05-25 23:00:00
1935,2010-06-03 00:00:00,Tripura,23.8986,91.7599,2010-06-03 00:00:00,2010-06-01 00:00:00,2010-05-28 00:00:00
1934,2010-06-03 05:00:00,Assam,24.6005,92.3814,2010-06-03 05:00:00,2010-06-01 05:00:00,2010-05-28 05:00:00
1954,2010-06-07 00:00:00,Manipur,24.7543,93.5039,2010-06-07 00:00:00,2010-06-05 00:00:00,2010-06-01 00:00:00
1961,2010-06-09 14:15:00,Meghalaya,25.8833,91.2,2010-06-09 14:15:00,2010-06-07 14:15:00,2010-06-03 14:15:00
1987,2010-06-15 00:00:00,Assam,25.2269,93.1658,2010-06-15 00:00:00,2010-06-13 00:00:00,2010-06-09 00:00:00
1986,2010-06-15 00:00:00,Nagaland,26.3335,94.5512,2010-06-15 00:00:00,2010-06-13 00:00:00,2010-06-09 00:00:00
1994,2010-06-16 00:00:00,Assam,25.0633,92.8025,2010-06-16 00:00:00,2010-06-14 00:00:00,2010-06-10 00:00:00
1996,2010-06-17 19:30:00,Nagaland,26.4333,94.8833,2010-06-17 19:30:00,2010-06-15 19:30:00,2010-06-11 19:30:00
2026,2010-06-28 00:00:00,Meghalaya,25.4916,91.2698,2010-06-28 00:00:00,2010-06-26 00:00:00,2010-06-22 00:00:00
2025,2010-06-28 00:00:00,Meghalaya,25.5728,91.885,2010-06-28 00:00:00,2010-06-26 00:00:00,2010-06-22 00:00:00
2045,2010-07-06 00:00:00,Nagaland,26.2363,94.8133,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2043,2010-07-06 00:00:00,Nagaland,26.7225,95.0281,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2042,2010-07-06 00:00:00,Nagaland,26.0093,94.5238,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2044,2010-07-06 00:00:00,Nagaland,25.8877,94.7861,2010-07-06 00:00:00,2010-07-04 00:00:00,2010-06-30 00:00:00
2098,2010-07-19 06:00:00,Nagaland,26.7215,95.0283,2010-07-19 06:00:00,2010-07-17 06:00:00,2010-07-13 06:00:00
2106,2010-07-20 00:00:00,Nagaland,26.8716,94.9921,2010-07-20 00:00:00,2010-07-18 00:00:00,2010-07-14 00:00:00
2113,2010-07-21 08:00:00,Sikkim,27.3773,88.559,2010-07-21 08:00:00,2010-07-19 08:00:00,2010-07-15 08:00:00
2140,2010-07-25 00:00:00,Assam,25.0477,92.801,2010-07-25 00:00:00,2010-07-23 00:00:00,2010-07-19 00:00:00
2163,2010-07-29 00:00:00,Nagaland,25.4196,94.1054,2010-07-29 00:00:00,2010-07-27 00:00:00,2010-07-23 00:00:00
2166,2010-07-29 00:00:00,Assam,24.9786,93.5027,2010-07-29 00:00:00,2010-07-27 00:00:00,2010-07-23 00:00:00
2164,2010-07-29 23:00:00,Manipur,25.3098633,94.48214677,2010-07-29 23:00:00,2010-07-27 23:00:00,2010-07-23 23:00:00
2182,2010-07-31 09:00:00,Manipur,24.9356,93.8443,2010-07-31 09:00:00,2010-07-29 09:00:00,2010-07-25 09:00:00
2205,2010-08-06 00:00:00,Mizoram,23.7365,92.7146,2010-08-06 00:00:00,2010-08-04 00:00:00,2010-07-31 00:00:00
2243,2010-08-13 00:00:00,Nagaland,25.70223725,94.04619681,2010-08-13 00:00:00,2010-08-11 00:00:00,2010-08-07 00:00:00
2247,2010-08-14 00:00:00,Nagaland,26.148,94.8422,2010-08-14 00:00:00,2010-08-12 00:00:00,2010-08-08 00:00:00
2248,2010-08-14 00:00:00,Nagaland,26.222,94.9152,2010-08-14 00:00:00,2010-08-12 00:00:00,2010-08-08 00:00:00
2249,2010-08-14 00:00:00,Nagaland,26.0814,94.803,2010-08-14 00:00:00,2010-08-12 00:00:00,2010-08-08 00:00:00
2253,2010-08-15 23:00:00,Manipur,25.31006064,94.48265093,2010-08-15 23:00:00,2010-08-13 23:00:00,2010-08-09 23:00:00
2263,2010-08-17 00:00:00,Nagaland,26.2753,94.6654,2010-08-17 00:00:00,2010-08-15 00:00:00,2010-08-11 00:00:00
2283,2010-08-19 00:00:00,Manipur,24.8961,93.4957,2010-08-19 00:00:00,2010-08-17 00:00:00,2010-08-13 00:00:00
2282,2010-08-19 06:30:00,Nagaland,26.1984,94.8158,2010-08-19 06:30:00,2010-08-17 06:30:00,2010-08-13 06:30:00
2281,2010-08-19 18:00:00,Nagaland,25.61560252,94.11603493,2010-08-19 18:00:00,2010-08-17 18:00:00,2010-08-13 18:00:00
2296,2010-08-20 00:00:00,Sikkim,27.167,88.3652,2010-08-20 00:00:00,2010-08-18 00:00:00,2010-08-14 00:00:00
2304,2010-08-21 18:00:00,Nagaland,25.5718,94.1211,2010-08-21 18:00:00,2010-08-19 18:00:00,2010-08-15 18:00:00
2344,2010-08-27 16:30:00,Assam,24.7505,93.4221,2010-08-27 16:30:00,2010-08-25 16:30:00,2010-08-21 16:30:00
2343,2010-08-27 16:30:00,Nagaland,25.4786,94.1327,2010-08-27 16:30:00,2010-08-25 16:30:00,2010-08-21 16:30:00
2345,2010-08-27 18:00:00,Sikkim,27.3392,88.6188,2010-08-27 18:00:00,2010-08-25 18:00:00,2010-08-21 18:00:00
2392,2010-09-04 00:00:00,Sikkim,27.3702,88.7334,2010-09-04 00:00:00,2010-09-02 00:00:00,2010-08-29 00:00:00
2405,2010-09-09 23:00:00,Arunachal Pradesh,28.3036,95.4112,2010-09-09 23:00:00,2010-09-07 23:00:00,2010-09-03 23:00:00
2411,2010-09-10 00:00:00,Arunachal Pradesh,27.0011,93.7273,2010-09-10 00:00:00,2010-09-08 00:00:00,2010-09-04 00:00:00
2415,2010-09-12 00:00:00,Nagaland,25.63961883,94.11112157,2010-09-12 00:00:00,2010-09-10 00:00:00,2010-09-06 00:00:00
2420,2010-09-13 00:00:00,Mizoram,23.72988966,92.71495623,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2425,2010-09-13 00:00:00,Mizoram,23.3439,93.0748,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2423,2010-09-13 00:00:00,Mizoram,23.73504471,92.71060943,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2424,2010-09-13 00:00:00,Mizoram,23.591,92.9296,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2426,2010-09-13 00:00:00,Mizoram,22.7176,92.8416,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2422,2010-09-13 00:00:00,Mizoram,23.74182634,92.7141905,2010-09-13 00:00:00,2010-09-11 00:00:00,2010-09-07 00:00:00
2421,2010-09-13 09:00:00,Mizoram,23.75406693,92.74128531,2010-09-13 09:00:00,2010-09-11 09:00:00,2010-09-07 09:00:00
2437,2010-09-16 00:00:00,Mizoram,23.7527,92.694,2010-09-16 00:00:00,2010-09-14 00:00:00,2010-09-10 00:00:00
2436,2010-09-16 03:00:00,Mizoram,24.3069,93.125,2010-09-16 03:00:00,2010-09-14 03:00:00,2010-09-10 03:00:00
2539,2010-10-03 00:00:00,Arunachal Pradesh,28.3092,95.4149,2010-10-03 00:00:00,2010-10-01 00:00:00,2010-09-27 00:00:00
2569,2010-10-08 00:00:00,Nagaland,25.2745,94.0212,2010-10-08 00:00:00,2010-10-06 00:00:00,2010-10-02 00:00:00
2570,2010-10-08 00:00:00,Manipur,24.837,93.9128,2010-10-08 00:00:00,2010-10-06 00:00:00,2010-10-02 00:00:00
2566,2010-10-08 00:00:00,Nagaland,25.4769,94.1351,2010-10-08 00:00:00,2010-10-06 00:00:00,2010-10-02 00:00:00
2567,2010-10-08 00:00:00,Manipur,25.6633,94.4703,2010-10-08 00:00:00,2010-10-06 00:00:00,2010-10-02 00:00:00
2568,2010-10-08 00:00:00,Assam,24.7679,93.4108,2010-10-08 00:00:00,2010-10-06 00:00:00,2010-10-02 00:00:00
2574,2010-10-09 00:00:00,Assam,25.4749,93.1477,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2577,2010-10-09 00:00:00,Nagaland,25.5265,93.8673,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2578,2010-10-09 00:00:00,Nagaland,25.3179,94.0462,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2573,2010-10-09 00:00:00,Assam,25.1796,93.0083,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2575,2010-10-09 00:00:00,Assam,25.5242,92.9914,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2576,2010-10-09 00:00:00,Nagaland,25.4788,94.1399,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2579,2010-10-09 00:00:00,Nagaland,25.682,94.1076,2010-10-09 00:00:00,2010-10-07 00:00:00,2010-10-03 00:00:00
2587,2010-10-10 06:00:00,Nagaland,25.6623,94.1072,2010-10-10 06:00:00,2010-10-08 06:00:00,2010-10-04 06:00:00
2743,2010-11-22 00:00:00,Arunachal Pradesh,27.5798729,91.85672387,2010-11-22 00:00:00,2010-11-20 00:00:00,2010-11-16 00:00:00
3269,2011-03-22 00:00:00,Arunachal Pradesh,28.0791,96.5242,2011-03-22 00:00:00,2011-03-20 00:00:00,2011-03-16 00:00:00
3525,2011-05-22 00:00:00,Assam,25.0672,93.4093,2011-05-22 00:00:00,2011-05-20 00:00:00,2011-05-16 00:00:00
3532,2011-05-24 00:00:00,Assam,25.0888,92.8551,2011-05-24 00:00:00,2011-05-22 00:00:00,2011-05-18 00:00:00
3556,2011-05-31 14:00:00,Manipur,25.1555,93.8474,2011-05-31 14:00:00,2011-05-29 14:00:00,2011-05-25 14:00:00
3560,2011-05-31 14:30:00,Manipur,24.8286,93.5935,2011-05-31 14:30:00,2011-05-29 14:30:00,2011-05-25 14:30:00
3633,2011-06-20 00:00:00,Nagaland,26.3186,94.5121,2011-06-20 00:00:00,2011-06-18 00:00:00,2011-06-14 00:00:00
3637,2011-06-21 00:00:00,Nagaland,25.51614662,94.2341227,2011-06-21 00:00:00,2011-06-19 00:00:00,2011-06-15 00:00:00
3662,2011-06-28 00:00:00,Manipur,25.03561729,94.0144205,2011-06-28 00:00:00,2011-06-26 00:00:00,2011-06-22 00:00:00
3663,2011-06-28 00:00:00,Nagaland,25.6682,94.1099,2011-06-28 00:00:00,2011-06-26 00:00:00,2011-06-22 00:00:00
3672,2011-06-29 00:00:00,Assam,25.5125,93.3613,2011-06-29 00:00:00,2011-06-27 00:00:00,2011-06-23 00:00:00
3683,2011-07-01 00:00:00,Nagaland,25.8782,94.1739,2011-07-01 00:00:00,2011-06-29 00:00:00,2011-06-25 00:00:00
3738,2011-07-06 00:00:00,Manipur,24.8063,93.9482,2011-07-06 00:00:00,2011-07-04 00:00:00,2011-06-30 00:00:00
3741,2011-07-07 00:00:00,Nagaland,25.4191,94.1079,2011-07-07 00:00:00,2011-07-05 00:00:00,2011-07-01 00:00:00
3760,2011-07-11 09:00:00,Nagaland,25.6703,94.1095,2011-07-11 09:00:00,2011-07-09 09:00:00,2011-07-05 09:00:00
3776,2011-07-15 18:00:00,Arunachal Pradesh,27.125,93.7145,2011-07-15 18:00:00,2011-07-13 18:00:00,2011-07-09 18:00:00
3789,2011-07-16 00:00:00,Arunachal Pradesh,27.2743,92.9064,2011-07-16 00:00:00,2011-07-14 00:00:00,2011-07-10 00:00:00
3794,2011-07-17 00:00:00,Sikkim,26.99195749,88.42280921,2011-07-17 00:00:00,2011-07-15 00:00:00,2011-07-11 00:00:00
3806,2011-07-19 00:00:00,Arunachal Pradesh,27.1032,93.6884,2011-07-19 00:00:00,2011-07-17 00:00:00,2011-07-13 00:00:00
3805,2011-07-19 00:00:00,Sikkim,27.05374234,88.42572376,2011-07-19 00:00:00,2011-07-17 00:00:00,2011-07-13 00:00:00
3830,2011-07-22 00:00:00,Manipur,24.3527,94.3429,2011-07-22 00:00:00,2011-07-20 00:00:00,2011-07-16 00:00:00
3831,2011-07-22 00:00:00,Manipur,24.7992,93.948,2011-07-22 00:00:00,2011-07-20 00:00:00,2011-07-16 00:00:00
3837,2011-07-24 12:30:00,Assam,26.5836,93.0038,2011-07-24 12:30:00,2011-07-22 12:30:00,2011-07-18 12:30:00
3840,2011-07-25 00:00:00,Manipur,24.6869,93.9157,2011-07-25 00:00:00,2011-07-23 00:00:00,2011-07-19 00:00:00
3860,2011-07-29 00:00:00,Nagaland,25.4192,94.108,2011-07-29 00:00:00,2011-07-27 00:00:00,2011-07-23 00:00:00
3881,2011-08-05 00:00:00,Arunachal Pradesh,27.1034,93.6885,2011-08-05 00:00:00,2011-08-03 00:00:00,2011-07-30 00:00:00
3912,2011-08-12 00:00:00,Arunachal Pradesh,27.44,92.2833,2011-08-12 00:00:00,2011-08-10 00:00:00,2011-08-06 00:00:00
3916,2011-08-13 08:00:00,Assam,25.7713,93.8067,2011-08-13 08:00:00,2011-08-11 08:00:00,2011-08-07 08:00:00
3925,2011-08-15 00:00:00,Arunachal Pradesh,27.4888,93.0153,2011-08-15 00:00:00,2011-08-13 00:00:00,2011-08-09 00:00:00
3927,2011-08-16 08:00:00,Meghalaya,25.5144,90.2167,2011-08-16 08:00:00,2011-08-14 08:00:00,2011-08-10 08:00:00
3932,2011-08-18 00:00:00,Nagaland,25.83,94.13,2011-08-18 00:00:00,2011-08-16 00:00:00,2011-08-12 00:00:00
3965,2011-09-06 08:00:00,Assam,24.808,93.117,2011-09-06 08:00:00,2011-09-04 08:00:00,2011-08-31 08:00:00
3983,2011-09-23 00:00:00,Assam,26.1548,91.7351,2011-09-23 00:00:00,2011-09-21 00:00:00,2011-09-17 00:00:00
4241,2012-03-04 00:00:00,Manipur,25.1604,93.6795,2012-03-04 00:00:00,2012-03-02 00:00:00,2012-02-27 00:00:00
4313,2012-04-08 00:00:00,Arunachal Pradesh,28.4659,95.86,2012-04-08 00:00:00,2012-04-06 00:00:00,2012-04-02 00:00:00
4378,2012-06-02 00:00:00,Arunachal Pradesh,28.8254,96.1517,2012-06-02 00:00:00,2012-05-31 00:00:00,2012-05-27 00:00:00
4377,2012-06-02 00:00:00,Assam,26.1475,91.7356,2012-06-02 00:00:00,2012-05-31 00:00:00,2012-05-27 00:00:00
4382,2012-06-03 00:00:00,Assam,25.1175,92.8573,2012-06-03 00:00:00,2012-06-01 00:00:00,2012-05-28 00:00:00
4383,2012-06-03 00:00:00,Assam,25.3056,93.1265,2012-06-03 00:00:00,2012-06-01 00:00:00,2012-05-28 00:00:00
4384,2012-06-03 00:00:00,Assam,25.1775,93.0123,2012-06-03 00:00:00,2012-06-01 00:00:00,2012-05-28 00:00:00
4394,2012-06-07 04:30:00,Sikkim,27.1748,88.6458,2012-06-07 04:30:00,2012-06-05 04:30:00,2012-06-01 04:30:00
4403,2012-06-10 00:00:00,Manipur,24.8142,93.5444,2012-06-10 00:00:00,2012-06-08 00:00:00,2012-06-04 00:00:00
4407,2012-06-13 00:00:00,Assam,25.0951,92.3567,2012-06-13 00:00:00,2012-06-11 00:00:00,2012-06-07 00:00:00
4408,2012-06-13 00:00:00,Meghalaya,25.5498,92.0757,2012-06-13 00:00:00,2012-06-11 00:00:00,2012-06-07 00:00:00
4411,2012-06-14 04:00:00,Sikkim,27.339,88.6065,2012-06-14 04:00:00,2012-06-12 04:00:00,2012-06-08 04:00:00
4424,2012-06-20 00:00:00,Assam,26.149,91.7351,2012-06-20 00:00:00,2012-06-18 00:00:00,2012-06-14 00:00:00
4426,2012-06-22 00:00:00,Assam,26.1226,91.7162,2012-06-22 00:00:00,2012-06-20 00:00:00,2012-06-16 00:00:00
4435,2012-06-25 00:00:00,Arunachal Pradesh,27.174,95.8011,2012-06-25 00:00:00,2012-06-23 00:00:00,2012-06-19 00:00:00
4436,2012-06-25 00:00:00,Arunachal Pradesh,26.9986,95.4993,2012-06-25 00:00:00,2012-06-23 00:00:00,2012-06-19 00:00:00
4434,2012-06-25 18:00:00,Assam,26.1049,91.7369,2012-06-25 18:00:00,2012-06-23 18:00:00,2012-06-19 18:00:00
4446,2012-07-05 00:00:00,Arunachal Pradesh,28.9986,94.8885,2012-07-05 00:00:00,2012-07-03 00:00:00,2012-06-29 00:00:00
4552,2012-09-14 00:00:00,Sikkim,27.0377,88.3603,2012-09-14 00:00:00,2012-09-12 00:00:00,2012-09-08 00:00:00
